#
#
#    Flux-calibrated SSP-models of Lick absorption indices with variable element ratios
#    Version July 2010
#
#    Based on:
#    --------
#    Evolutionary synthesis code: Maraston (2005, MNRAS, 362, 799)
#    Stellar evolutionary tracks: Cassisi et al (1997, A&A, 317, 10)
#    Stellar evolutionary tracks for [Z/H]=0.67: Girardi et al (2000, A&AS, 141, 371)
#    Stellar library: MILES (Sanchez-Blazquez et al 2006, 371, 703)
#    Index calibration functions: Johansson, Thomas, Maraston (2010, MNRAS, 406, 165)
#    Index response functions: Korn, Maraston, Thomas (2005, A&A, 438, 685)
#
#    1-sigma errors evaluated through Monte Carlo simulations by perturbing index measurements
#    and stellar parameters of MILES stars and re-assessment of calibration functions.
#
#
#    Reference:
#    ---------
#    Thomas D., Maraston C., Johansson, J., 2010, MNRAS, submitted
#
#    Contact: 
#    -------
#    Daniel Thomas (daniel.thomas@port.ac.uk)
#    Claudia Maraston (claudia.maraston@port.ac.uk)
#    Jonas Johansson (jonas.johansson@port.ac.uk)
#
#	      www.icg.port.ac.uk/~thomasd/tmj
#
#    Parameters:
#    ----------
#    Ages: t = 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15 Gyr 
#    Metallicities: [Z/H] = -2.25, -1.35, -0.33, 0.0, 0.35, 0.67
#    Element ratio: [alpha/Fe] = 0
#
#
#     age        [Z/H]    [alpha/Fe]      HdA         HdF         CN1         CN2       Ca4227      G4300        HgA         HgF        Fe4383      Ca4455      Fe4531      C24668        Hb        Fe5015       Mg1          Mg2         Mgb       Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        NaD        TiO1        TiO2  
#      1           2           3           4           5           6           7          8           9           10          11          12          13          14          15          16          17          18          19           20         21          22          23          24          25          26          27          28
#
   1.000E+00  -2.250E+00   0.000E+00    1.2685      0.6424      1.2475      0.8130      0.0211      0.0268      0.0629      0.3887      0.7057      0.2213      0.1763      0.3360      0.3537      0.4967      0.0032      0.0071      0.1185      0.1084      0.0909      0.1139      0.0585      0.0626      0.0922      0.0012      0.0031
   2.000E+00  -2.250E+00   0.000E+00    1.0285      0.5221      1.0657      0.6396      0.0188      0.0229      0.0652      0.3473      0.5715      0.1860      0.1608      0.2953      0.2873      0.2473      0.0040      0.0063      0.1247      0.0939      0.0818      0.0969      0.0566      0.0567      0.0939      0.0014      0.0042
   3.000E+00  -2.250E+00   0.000E+00    0.5390      0.2743      0.6750      0.3236      0.0151      0.0190      0.0583      0.2977      0.2812      0.0782      0.1427      0.2541      0.2237      0.1823      0.0047      0.0059      0.1328      0.0746      0.0750      0.0768      0.0596      0.0487      0.0974      0.0017      0.0053
   4.000E+00  -2.250E+00   0.000E+00    0.4131      0.2078      0.5380      0.2430      0.0114      0.0156      0.0518      0.2975      0.2149      0.0479      0.1444      0.2261      0.1675      0.1563      0.0055      0.0055      0.1461      0.0699      0.0791      0.0703      0.0694      0.0418      0.1032      0.0019      0.0062
   5.000E+00  -2.250E+00   0.000E+00    0.3687      0.1778      0.4416      0.2090      0.0086      0.0134      0.0477      0.2540      0.1933      0.0402      0.1246      0.2151      0.1370      0.1482      0.0063      0.0054      0.1628      0.0640      0.0825      0.0651      0.0796      0.0359      0.1112      0.0022      0.0071
   6.000E+00  -2.250E+00   0.000E+00    0.3322      0.1540      0.3760      0.1864      0.0075      0.0128      0.0461      0.2216      0.1879      0.0363      0.1103      0.2125      0.1314      0.1469      0.0071      0.0055      0.1810      0.0627      0.0885      0.0645      0.0897      0.0310      0.1210      0.0024      0.0080
   7.000E+00  -2.250E+00   0.000E+00    0.3035      0.1370      0.3295      0.1712      0.0073      0.0129      0.0466      0.1982      0.1899      0.0345      0.1001      0.2163      0.1365      0.1494      0.0078      0.0057      0.1998      0.0640      0.0956      0.0654      0.0993      0.0287      0.1310      0.0026      0.0088
   8.000E+00  -2.250E+00   0.000E+00    0.2800      0.1244      0.2917      0.1597      0.0075      0.0137      0.0484      0.1805      0.1947      0.0338      0.0922      0.2229      0.1440      0.1550      0.0085      0.0060      0.2178      0.0664      0.1027      0.0668      0.1085      0.0286      0.1392      0.0028      0.0095
   9.000E+00  -2.250E+00   0.000E+00    0.2636      0.1166      0.2657      0.1530      0.0076      0.0144      0.0497      0.1686      0.2023      0.0340      0.0865      0.2330      0.1532      0.1701      0.0091      0.0063      0.2355      0.0696      0.1102      0.0686      0.1175      0.0294      0.1467      0.0030      0.0103
   1.000E+01  -2.250E+00   0.000E+00    0.2545      0.1128      0.2512      0.1506      0.0077      0.0148      0.0513      0.1623      0.2109      0.0347      0.0832      0.2423      0.1625      0.1806      0.0097      0.0067      0.2515      0.0728      0.1171      0.0704      0.1258      0.0303      0.1539      0.0032      0.0109
