#
#
#    alpha/Fe-enhanced SSP-models
#    version September 2004
#
#    Reference:
#    Thomas D., Maraston C., Bender R., 2003, MNRAS, 339, 897
#    Thomas D., Maraston C., Korn, A., 2004, MNRAS, 352, L19
#
#    Index response functions:
#    Korn, A., Maraston, C., Thomas, D. 2005, A&A, 438, 685
#
#    Note: alpha-enhanced high-order balmer lines are computed with 1 choice 
#    of mass-loss at each metallicity. Since *at low metallicity* the alpha-en. 
#    does not play a role, the previous models can be used that are provided 
#    for two choices of HB morphologies encompassing the observed ranges of 
#    Balmer lines vs. HB morphology (Maraston et al. 2003, A&A, 400, 823).
#    These models are in the file "HB-balmer-models.dat"
#
#    Contact: Daniel Thomas (daniel.thomas@port.ac.uk)
#             Claudia Maraston (claudia.maraston@port.ac.uk)
#
#	      www.dsg.port.ac.uk/~thomasd/tmb
#
#
#     age        [Z/H]    [alpha/Fe]      HdA         HdF         HgA         HgF         CN1         CN2       Ca4227      G4300       Fe4383      Ca4455      Fe4531      Fe4668      Hb          Fe5015        Mg1         Mg2         Mgb       Fe5270      Fe5335      Fe5406      Fe5709      Fe5782       NaD         TiO1        TiO2  
#      1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28    
#				    																																										
#				    																																												    
   1.000E-01  -2.250E+00   0.000E+00   9.751E+00   8.351E+00   9.797E+00   8.306E+00  -2.365E-01  -1.413E-01  -7.937E-01  -4.944E+00  -2.974E+00  -4.888E-01  -1.559E+00   1.019E+00   6.597E+00  -1.259E+00   3.762E-03  -2.750E-02  -3.189E-01  -8.064E-01  -4.677E-01  -4.328E-01  -3.013E-01  -6.290E-01   7.289E-01   1.085E-02  -1.013E-02
   2.000E-01  -2.250E+00   0.000E+00   1.058E+01   8.599E+00   1.077E+01   8.618E+00  -2.393E-01  -1.460E-01  -6.857E-01  -5.242E+00  -2.910E+00  -4.238E-01  -1.328E+00   9.171E-01   6.667E+00  -9.840E-01   1.263E-03  -1.959E-02  -1.151E-01  -6.219E-01  -3.389E-01  -3.799E-01  -2.709E-01  -5.937E-01   7.589E-01   1.175E-02  -9.009E-03
   4.000E-01  -2.250E+00   0.000E+00   9.234E+00   7.666E+00   8.998E+00   7.575E+00  -2.519E-01  -1.528E-01  -5.421E-01  -4.231E+00  -2.827E+00  -3.844E-01  -1.175E+00   9.114E-01   6.728E+00  -7.427E-01   2.666E-03  -8.679E-03   1.261E-01  -5.163E-01  -2.360E-01  -3.483E-01  -2.281E-01  -5.781E-01   7.735E-01   1.395E-02  -8.320E-03
   6.000E-01  -2.250E+00   0.000E+00   8.979E+00   7.259E+00   8.470E+00   7.060E+00  -2.326E-01  -1.370E-01  -4.465E-01  -3.534E+00  -2.669E+00  -2.396E-01  -8.477E-01   1.174E+00   6.139E+00  -2.197E-01   5.966E-03  -3.080E-03   1.686E-01  -9.895E-02   6.559E-03  -1.836E-01  -1.038E-01  -4.829E-01   7.741E-01   1.455E-02  -5.812E-03
   8.000E-01  -2.250E+00   0.000E+00   9.109E+00   7.317E+00   8.516E+00   7.031E+00  -2.296E-01  -1.328E-01  -3.865E-01  -3.471E+00  -2.549E+00  -1.730E-01  -6.684E-01   1.256E+00   5.983E+00   5.359E-02   7.861E-03   9.272E-04   2.671E-01   8.519E-02   1.180E-01  -9.771E-02  -4.030E-02  -4.303E-01   7.841E-01   1.425E-02  -4.613E-03
   1.000E+00  -2.250E+00   0.000E+00   9.206E+00   7.333E+00   8.590E+00   7.041E+00  -2.290E-01  -1.324E-01  -3.497E-01  -3.439E+00  -2.502E+00  -1.473E-01  -5.935E-01   1.252E+00   5.955E+00   1.375E-01   8.263E-03   3.535E-03   3.107E-01   1.430E-01   1.574E-01  -7.151E-02  -2.690E-02  -4.153E-01   8.040E-01   1.435E-02  -4.016E-03
   2.000E+00  -2.250E+00   0.000E+00   8.382E+00   6.286E+00   7.704E+00   6.064E+00  -2.002E-01  -1.179E-01  -1.979E-01  -2.446E+00  -1.891E+00  -6.366E-02  -2.857E-01   8.197E-01   4.906E+00   4.038E-01   3.808E-03   9.706E-03   3.224E-01   3.072E-01   2.828E-01   1.509E-02   7.359E-03  -3.520E-01   7.788E-01   1.347E-02  -3.626E-03
   3.000E+00  -2.250E+00   0.000E+00   8.066E+00   5.895E+00   6.878E+00   5.497E+00  -1.849E-01  -1.109E-01  -1.049E-01  -1.943E+00  -1.593E+00  -2.515E-02  -1.204E-01   5.412E-01   4.481E+00   5.203E-01   2.420E-03   1.278E-02   3.459E-01   4.221E-01   3.463E-01   5.994E-02   2.303E-02  -3.229E-01   7.926E-01   1.278E-02  -3.843E-03
   4.000E+00  -2.250E+00   0.000E+00   7.649E+00   5.531E+00   6.248E+00   5.086E+00  -1.727E-01  -1.055E-01  -3.288E-02  -1.558E+00  -1.346E+00  -4.195E-03  -1.198E-02   3.196E-01   4.153E+00   5.785E-01   1.330E-03   1.733E-02   4.333E-01   4.942E-01   3.769E-01   8.077E-02   2.556E-02  -3.123E-01   8.113E-01   1.234E-02  -4.156E-03
   5.000E+00  -2.250E+00   0.000E+00   7.118E+00   5.138E+00   5.546E+00   4.652E+00  -1.606E-01  -9.974E-02   3.126E-02  -1.175E+00  -1.102E+00   1.453E-02   7.671E-02   1.407E-01   3.846E+00   6.168E-01   1.013E-03   2.133E-02   5.100E-01   5.580E-01   4.037E-01   9.767E-02   2.751E-02  -3.044E-01   8.374E-01   1.195E-02  -4.462E-03
